Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
STATE STR SPDR S&AMP;P 500 ETF T,4.9836994183669265,Add 752.52%,14028230.0,746.7700000641563,10475861318.0,,,,,
ALPHABET INC,3.5801566043478914,Add 132.50%,38086841.0,197.5900043797279,7525579080.0,,341.75,72.95915401835097,201.55446650056933,404.2267181336527
NVIDIA CORPORATION,2.5114629354024363,Add 19.92%,26383918.0,200.0900000144027,5279158153.0,,214.72000122070312,7.3117103329738296,163.8517783946414,236.26463268418732
ADVANCED MICRO DEVICES INC,1.6330168867643355,Reduce 18.97%,5909078.0,580.9100000033847,3432642501.0,,473.25,-18.532991341646273,149.22000122070312,584.72998046875
AMAZON COM INC,1.5934667583642088,Add 74.84%,14053483.0,238.33999998434552,3349507138.0,,258.6300048828125,8.513050641856026,196.0,287.20001220703125
MICRON TECHNOLOGY INC,1.463972033630597,Reduce 54.16%,2665973.0,1154.290000311331,3077305975.0,,966.780029296875,-16.244615388150415,114.06692085746202,1254.8069810301963
META PLATFORMS INC,1.3139589888278163,Add 43.46%,4903291.0,563.2900001244062,2761974788.0,,549.9000244140625,-2.3771016185954763,519.7782492802263,788.2166289656076
TESLA INC,1.2403333826134963,Reduce 15.18%,6198792.0,420.59999996773564,2607211915.0,,362.8599853515625,-13.7280110843087,297.3800048828125,498.8299865722656
INVESCO QQQ TR,1.121760624934892,Add 326.94%,3202022.0,736.4000000624605,2357969001.0,,713.4400024414062,-3.117870399118259,554.990063621082,747.828194840854
APPLE INC,1.0189777400044377,Reduce 19.95%,7402256.0,289.35999997838496,2141916796.0,,309.3500061035156,6.908351578180779,223.86305742355088,344.2730974331505
MICROSOFT CORP,0.9967239749195644,Reduce 30.82%,5616693.0,373.0200000249257,2095138823.0,,483.239990234375,29.54801088469365,348.54386902384044,549.2013167264516
BLOOM ENERGY CORP,0.9523984597020575,Add 0.14%,6613695.0,302.7000000756007,2001965477.0,,201.4499969482422,-33.44896039050904,44.63999938964844,351.2799987792969
CROWDSTRIKE HLDGS INC,0.9219655768138941,Add 6.53%,2539501.0,763.1399999448711,1937994793.0,,,,,
LUMENTUM HLDGS INC,0.8961489794086822,Reduce 90.48%,7734711.0,243.54208670498485,1883727657.0,,,,,
SANDISK CORP,0.880828369370724,Reduce 57.83%,814311.0,2273.729999963159,1851523350.0,,1596.0799560546875,-29.80345264914706,45.630001068115234,2354.389892578125
WESTERN DIGITAL CORP,0.8717989334663258,Reduce 98.17%,2869087.0,638.7200001254755,1832543249.0,,459.44000244140625,-28.068636906445704,74.36845559919652,799.8699951171875
SEAGATE TECHNOLOGY HLDNGS PL,0.8564511415456542,Add 3.08%,1865577.0,965.0,1800281805.0,,,,,
INTEL CORP,0.8511395047117315,Reduce 40.99%,12813268.0,139.63000001248705,1789116611.0,,90.06999969482422,-35.4938052805491,23.649999618530273,142.35000610351562
HOME DEPOT INC,0.7840291460722277,Add 16.22%,4672930.0,352.6799999144006,1648048952.0,,335.6099853515625,-4.84008579079652,286.94770281038166,418.0559748917175
BROADCOM INC,0.6624852559507483,Reduce 52.94%,3686461.0,377.75000006781573,1392560643.0,,368.45001220703125,-2.4619425173037457,285.08119233248743,494.21781760890264
CLOUDFLARE INC,0.6107449496700897,Add 16.72%,119494702.0,10.743582757334297,1283801220.0,,293.1400146484375,2628.5126504779823,158.8300018310547,332.2200012207031
MARVELL TECHNOLOGY INC,0.5701964554607076,Add 83.24%,4023523.0,297.89000013172534,1198567267.0,,237.0399932861328,-20.42700554522978,61.30938118307147,329.79864574979393
BERKSHIRE HATHAWAY INC DEL,0.5674031063365119,Add 219.64%,2383532.0,500.3899997986182,1192695577.0,,,,,
GENERAL MTRS CO,0.5540429914327145,Add 17.60%,15109137.0,77.08000000264741,1164612280.0,,,,,
BOSTON SCIENTIFIC CORP,0.5536396660889902,Add 11.60%,27267209.0,42.67999999559911,1163764480.0,,50.369998931884766,18.017804444888935,42.20000076293945,109.5
STRATEGY INC,0.5420743289840346,Reduce 11.18%,945811555.0,1.2047366570817588,1139453851.0,,119.25,9798.428781013441,81.80999755859375,365.2099914550781
ELI LILLY &AMP; CO,0.52727670984413,Reduce 20.89%,924063.0,1199.429999902604,1108348884.0,,,,,
VISA INC,0.527036255532904,Add 15.10%,3229017.0,343.0900001455551,1107843443.0,,371.0400085449219,8.146552912503727,292.7381694353985,373.27653822285373
WARNER BROS DISCOVERY INC,0.5178660896255218,Add 167.63%,40831490.0,26.660000014694543,1088567524.0,,28.549999237060547,7.089269397315336,11.25,30.0
MASTERCARD INCORPORATED,0.5168496393510432,Add 86.17%,2115325.0,513.6,1086430920.0,,580.6300048828125,13.051013411762552,463.74259988972767,598.0432666718583
CIPHER DIGITAL INC,0.4838322511807086,Reduce 2.73%,69731909.0,14.584822867820813,1017027541.0,,15.765000343322754,8.09181905188456,5.710000038146973,30.139999389648438
PALANTIR TECHNOLOGIES INC,0.482482910496559,Reduce 4.52%,8692819.0,116.67000003106013,1014191193.0,,179.94000244140625,54.229881197824845,106.37000274658203,207.52000427246094
CITIGROUP INC,0.47412195328603013,Add 4.74%,7120722.0,139.95999998314778,996616251.0,,131.64999389648438,-5.937415038342379,90.91666570498032,147.21154110017517
CAPITAL ONE FINL CORP,0.46228976732311533,Add 96.59%,4843708.0,200.62000000825813,971744699.0,,,,,
COSTCO WHOLESALE CORPORATION,0.45865786541873094,Reduce 0.89%,1030616.0,935.4700004657409,964110350.0,,947.739990234375,1.3116390437454184,840.3509938826251,1094.7594789612422
SPACE EXPLORATION TECHN CORP,0.4340539966283662,Buy 100%,5340000.0,170.86,912392400.0,,136.97000122070312,-19.83495187831961,104.83000183105469,225.63999938964844
ORACLE CORP,0.42722327470604976,Reduce 2.96%,7496423.0,119.79500769900524,898034051.0,,146.47000122070312,22.267199638837194,114.5,341.8239855426254
DELL TECHNOLOGIES INC,0.4211941435887147,Add 60.18%,2052011.0,431.4599999707604,885360666.0,,442.0799865722656,2.461406990734929,109.6987412978457,514.0
WELLS FARGO &AMP; CO,0.4165677735449751,Add 301.62%,10595788.0,82.63999996979932,875635920.0,,,,1.5,2.75
SUPER MICRO COMPUTER INC,0.4132470558395303,Add 285.52%,442288300.0,1.9640033163888804,868655688.0,,37.2400016784668,1796.127229914164,19.479999542236328,58.779998779296875
UNITEDHEALTH GROUP INC,0.39352276053822705,Reduce 37.77%,1990219.0,415.63000051753096,827194724.0,,390.1099853515625,-6.140080151623233,254.516344356629,461.6199951171875
NORFOLK SOUTHN CORP,0.38929703223563583,Add 14.92%,2601202.0,314.58999993080124,818312137.0,,,,,
