Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Kvartal_Aktualizace
GPI - Group 1 Automotive,46.41,Add 28.07%,967000,$291.17,"$281,561,000",,$263.01,-9.67%,$259.24,$486.11,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
EQH - Equitable Holdings Inc.,30.38,,4200000,$43.88,"$184,296,000",,$52.80,20.33%,$34.72,$53.71,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
AIIR - Air Holdings Ltd,10.61,Buy,9666791,$6.66,"$64,381,000",,$7.07,6.16%,$5.29,$13.37,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
MNDY - monday.com Ltd.,4.77,,400000,$72.39,"$28,956,000",,$94.29,30.25%,$57.50,$220.80,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
RMNI - Rimini Street Inc.,4.15,,5913199,$4.26,"$25,190,000",,$5.03,18.08%,$2.87,$5.08,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
SDHC - Smith Douglas Homes Corp,3.67,,1433350,$15.54,"$22,274,000",,$14.17,-8.82%,$10.72,$23.49,Greg Alexander - Conifer Management Updated 13 Aug 2026,Q2 2026
JCI - Johnson Controls Intl. plc,4.27,Reduce 3.01%,55776006,$146.11,"$8,149,432,000",,$151.45,3.65%,$101.75,$157.06,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
SCHW - Charles Schwab Corp.,3.72,Add 2.62%,76968323,$92.27,"$7,101,867,000",,$110.06,19.28%,$83.96,$110.20,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
RTX - RTX Corp.,3.49,Reduce 1.02%,35113249,$189.73,"$6,662,037,000",,$220.48,16.21%,$148.90,$226.88,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
CVS - CVS Health Corp.,2.71,Reduce 3.41%,50012765,$103.45,"$5,173,821,000",,$94.99,-8.18%,$64.20,$110.00,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
MSFT - Microsoft Corp.,2.51,Add 7.33%,12836229,$373.02,"$4,788,170,000",,$496.88,33.20%,$349.20,$550.24,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
BKNG - Booking Holdings Inc.,2.38,Add 2.40%,25536950,$178.24,"$4,551,706,000",,$213.34,19.69%,$149.76,$229.86,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
HUM - Humana Inc.,2.28,Reduce 3.87%,10940380,$397.22,"$4,345,738,000",,$384.97,-3.08%,$161.90,$428.88,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
GOOG - Alphabet Inc. CL C,2.21,Reduce 2.19%,11961097,$353.33,"$4,226,214,000",,$343.94,-2.66%,$196.90,$404.23,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
MET - MetLife Inc.,2.15,Reduce 5.25%,48431150,$84.61,"$4,097,760,000",,$97.47,15.20%,$66.41,$100.93,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
SUNB - Sunbelt Rentals Holdings Inc,2.15,Add 3.13%,54761610,$74.81,"$4,096,716,000",,$81.23,8.58%,$60.40,$85.78,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
AMZN - Amazon.com Inc.,2.09,Add 10.58%,16708513,$238.34,"$3,982,307,000",,$265.13,11.24%,$196.00,$287.20,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
GOOGL - Alphabet Inc.,2.0,Add 0.32%,10658860,$357.37,"$3,809,157,000",,$346.36,-3.08%,$196.04,$408.37,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
UNH - United Health Group Inc.,1.98,Reduce 4.17%,9072258,$415.63,"$3,770,703,000",,$399.06,-3.99%,$254.51,$461.62,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
META - Meta Platforms Inc.,1.92,Add 29.41%,6489255,$563.29,"$3,655,332,000",,$594.97,5.62%,$519.78,$793.65,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
OXY - Occidental Petroleum,1.85,Reduce 1.78%,72764944,$48.57,"$3,534,193,000",,$57.70,18.80%,$38.44,$67.14,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
TEL - TE Connectivity plc,1.79,Add 15.52%,16968886,$201.61,"$3,421,097,000",,$214.74,6.51%,$190.27,$251.59,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
CI - Cigna Group,1.76,Add 5.35%,12173875,$275.68,"$3,356,094,000",,$277.99,0.84%,$235.50,$310.19,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
REGN - Regeneron Pharmaceuticals,1.59,Add 9.26%,4871137,$623.54,"$3,037,349,000",,$805.97,29.26%,$538.87,$818.90,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
GILD - Gilead Sciences,1.57,Reduce 2.36%,23677567,$126.34,"$2,991,424,000",,$138.14,9.34%,$106.44,$155.38,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
IFF - International Flavors & Fragrances Inc.,1.54,Add 1.46%,37007037,$79.22,"$2,931,697,000",,$84.06,6.11%,$58.13,$89.32,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
AON - Aon Plc,1.49,Add 5.88%,8593144,$331.69,"$2,850,260,000",,$357.08,7.65%,$303.10,$381.47,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
CMCSA - Comcast Corp.,1.49,Add 2.47%,115903125,$24.55,"$2,845,422,000",,$26.18,6.64%,$21.28,$32.04,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
APD - Air Products & Chemicals,1.44,Add 1.75%,9393493,$293.18,"$2,753,984,000",,$305.52,4.21%,$224.64,$314.87,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
FTV - Fortive Corp.,1.41,Add 1.91%,43979772,$61.09,"$2,686,724,000",,$61.81,1.18%,$46.33,$64.56,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
BN - Brookfield Corp.,1.37,Add 3.42%,61210651,$42.59,"$2,606,962,000",,$45.11,5.92%,$37.87,$49.40,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
WFC - Wells Fargo,1.36,Add 0.51%,31328076,$82.64,"$2,588,952,000",,$88.11,6.62%,$72.36,$96.18,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
GSK - GSK plc,1.32,Reduce 17.84%,48197514,$52.42,"$2,526,514,000",,$50.45,-3.76%,$37.24,$60.66,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
FISV - Fiserv Inc.,1.29,Reduce 0.13%,50194946,$49.05,"$2,462,062,000",,$55.50,13.15%,$47.04,$140.42,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
BUD - Anheuser-Busch InBev,1.27,Reduce 0.70%,29477348,$82.40,"$2,428,933,000",,$80.23,-2.63%,$56.78,$86.60,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
GEHC - GE HealthCare Technologies Inc.,1.27,Add 20.93%,37864164,$64.01,"$2,423,685,000",,$73.79,15.28%,$58.72,$89.64,Dodge & Cox Funds Updated 13 Aug 2026,Q2 2026
